latitude,longitude
12.976623303533756,77.60198212746272
12.97651127360437,77.60242191777112
12.976386795845864,77.60289090577638
12.976269431045042,77.60338361691028
12.97614673142133,77.60392012458941
12.976018696966804,77.60444203342016
12.975882879260215,77.60497600952338
12.97573152883847,77.60564904739856
12.975592790870945,77.6062142266399
12.975395194238107,77.60704258094782
12.975134534609921,77.60813411032233
12.974894895678403,77.60916092451653
12.974764565636248,77.60981239066494
12.974600601937826,77.61070114580781